names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000110799,4.3641186,8.789953,1.2763626741746776e-05,0.0250225315166013
ENSG00000125968,4.279456,6.100281,1.873504364989608e-05,0.0291683812913715
ENSG00000111341,4.807399,5.9699326,1.5290688673537334e-06,0.0053563282423401
ENSG00000163453,4.2619734,5.8865747,2.0262974644468943e-05,0.0298868211282419
ENSG00000158869,5.3381295,5.5743423,9.39102474158839e-08,0.0010812250434728
ENSG00000142089,5.4020915,5.51871,6.586839093128733e-08,0.0010812250434728
ENSG00000102265,4.672486,3.9089355,2.975760831433009e-06,0.0092658579488976
ENSG00000170296,4.425685,3.704535,9.6136788533056e-06,0.0224511446820863
ENSG00000204287,4.3394136,3.4801893,1.4286344000343312e-05,0.0250225315166013
ENSG00000182718,4.9655867,3.177424,6.849374853175264e-07,0.0038389376177076
